shop_name,address,tel,genre_name,zip_code,offical_page
あけみ寿司,栃木県 佐野市 犬伏新町2064,0283-24-3783,和食・寿司,327-0803,
揚羽寿司,栃木県  下野市 石橋419-8,0285-53-0495,和食・寿司,329-0511,
阿吾羅,栃木県 宇都宮市 西大寛2-1-3,028-651-4129,焼肉・ホルモン・韓国料理,320-0866,
浅野屋茂兵衛,栃木県 小山市 間々田1175-1,0285-45-1719,うどん・そば・丼,329-0205,http://www.asanoya.info/
和堂あさひ阪,栃木県 宇都宮市 泉町1-22,028-627-1266,和食・寿司,320-0034,
旭亭,栃木県 那須塩原市 塩原711-8,0287-32-2109,和食・寿司,329-2921,
旭屋支店,栃木県 日光市 安川町6-43,0288-53-2233,ファミリーレストラン・食堂,321-1432,http://www.nikko-kankou.org/product/366/
あさひや本館,栃木県 宇都宮市 新富町2-14,028-653-0788,和食・寿司,321-0133,
旭屋本店,栃木県 日光市 松原町 10-2,0288-54-0674,ファミリーレストラン・食堂,321-1406,http://asahiya-honten.com/
あさやレストハウス,栃木県 日光市 上鉢石町1111,0288-54-0605,ファミリーレストラン・食堂,321-1401,http://www.nikko-asaya.jp/
足利伊萬里株式会社,栃木県 足利市 八椚町318-2,0284-41-1314,和食・寿司,326-0015,
足利かつ一,栃木県 足利市 江川町1-11-5,0284-44-2451,和食・寿司,326-0067,http://www.watv.ne.jp/~katuiti/
足利健康ランド内レストラン,栃木県 足利市 朝倉町243-7,0284-73-0105,ファミリーレストラン・食堂,326-0823,http://ashiken.3riku.co.jp/
あしかがフラワーパーク　レストラン「ウエステリア」,栃木県 足利市 迫間町607,0284-91-4939,洋食,329-4216,http://www.ashikaga.co.jp
あしかがフラワーパーク　あじさい,栃木県 足利市 迫間町607,0284-91-4939,うどん・そば・丼,329-4216,http://www.ashikaga.co.jp
足利麺,栃木県 足利市 堀込町2540-1,0284-72-1277,ラーメン・餃子,326-0831,
芦野温泉　陣屋,栃木県 那須郡那須町芦野1461,0287-74-0211,ファミリーレストラン・食堂,329-3443,http://www.asinoonsen.co.jp/
アジアンオールドバザール　ウブドレストラン,栃木県 那須郡那須町 湯本ツムジガ平506-20 ｱｼﾞｱﾝｵｰﾙﾄﾞﾊﾞｻﾞｰﾙ内,0287-76-7600,アジア・エスニック・各国料理,325-0301,http://www.asianoldbazaar.com/
アジアンオールドバザール　メコンレストラン,栃木県 那須郡那須町 湯本ツムジガ平506-20 ｱｼﾞｱﾝｵｰﾙﾄﾞﾊﾞｻﾞｰﾙ内,0287-76-7600,アジア・エスニック・各国料理,325-0301,http://www.asianoldbazaar.com/
アジアン物語,栃木県 河内郡上三川町 しらさぎ2-34-7,0285-56-7321,アジア・エスニック・各国料理,329-0618,
アジアンリゾートダイニングBALIYAN,栃木県 宇都宮市 岩曽町32-2,028-688-8622,アジア・エスニック・各国料理,321-0973,https://balian-utsunomiya.owst.jp/
あじくらラーメン,栃木県 足利市 梁田町460-2,0284-72-9570,ラーメン・餃子,326-0321,
AJISAI,栃木県 佐野市 相生町2835,0283-85-8855,洋食,327-0023,https://ajisai-sano.com/
味都,栃木県 芳賀郡芳賀町 下高根沢4030-8,028-677-2393,和食・寿司,321-3321,
味問屋　明日香,栃木県 宇都宮市 仲町3-12,028-643-1917,和食・寿司,320-0023,http://asuka-utunomiya.com/
味処    きゅうび,栃木県 宇都宮市 御幸ケ原町143-41,028-663-7800,和食・寿司,321-0982,
味処ゆづかみ,栃木県 大田原市 佐良土2686,0287-98-3055,うどん・そば・丼,324-0404,https://tnap.jp/
味処吉恵,栃木県 真岡市 八木岡401-7,0285-83-5191,和食・寿司,321-4334,
味の店　二幸,栃木県 日光市 御幸町577,0288-53-0253,ラーメン・餃子,321-1404,
味の民芸　足利店,栃木県 足利市 堀込町2066,0284-72-2622,うどん・そば・丼,326-0831,
味の民芸　大田原店,栃木県 大田原市 紫塚1-14-8,0287-23-4450,うどん・そば・丼,324-0058,http://www.ajino-mingei.co.jp/
味の民芸宇都宮帝京大前店,栃木県 宇都宮市 長岡町47-1,028-627-9888,うどん・そば・丼,320-0004,https://www.sagami-holdings.co.jp/store/mingei_utsunomiya/
味のめん処　喜八,栃木県 足利市 上渋垂町1250-1,0284-70-6721,うどん・そば・丼,326-0335,https://www.kihachi-ashikaga.com/
東橋　八寸庵　花子,栃木県 宇都宮市 東塙田1-13-14,028-643-2535,和食・寿司,320-0021,
東家そば店,栃木県 宇都宮市 新富町1-11,028-653-0061,うどん・そば・丼,321-0133,
@miya,栃木県 宇都宮市 江野町2-11 1F,028-666-8938,カフェ・スイーツ,320-0802,http://www.at-miya.com/
あづまや,栃木県 佐野市 水木町51-11,0283-87-0659,和食・寿司,327-0516,
あづま家,栃木県栃木市平井町659-7,0282-22-3753,和食・寿司,328-0054,http://www.cc9.ne.jp/~adumaya/
Anello,栃木県 さくら市 北草川1-1-1,028-678-9747,フレンチ・イタリアン,329-1322,
油源,栃木県 日光市 上鉢石町1028-3,0288-54-1627,和食・寿司,321-1401,http://www.aburagen.jp
あぶりや 多紋,栃木県 宇都宮市 御幸ヶ原町116-15 青木ﾏﾝｼｮﾝ102,028-661-5282,居酒屋,321-0982,
あぶり家あんべえ,栃木県 宇都宮市 越戸1-16-16,028-678-5229,居酒屋,321-0951,
炙りや八兵衛東口屋台村店,栃木県 宇都宮市 東宿郷2-17-10,028-639-6395,居酒屋,321-0953,
炙りや八兵衛本店,栃木県 宇都宮市 馬場通り1-1-6,028-643-3362,居酒屋,320-0026,
炙りや福朗,栃木県 足利市 山川町693-3,0284-42-5317,居酒屋,326-0021,http://www.fukulow.net
Avenue G,栃木県 さくら市 フィオーレ喜連川2-8-9,028-348-2545,洋食,329-1417,https://tabelog.com/tochigi/A0905/A090502/9016518/
american beer bar reds,栃木県 那須塩原市 下永田1-995,0287-38-0078,バー・ダイニングバー,329-2712,
あやめ鮨,栃木県 小山市 乙女3-20-11,0285-45-0790,和食・寿司,329-0214,https://ayamesushi.jp/
鮎の店篭岩,栃木県 塩谷郡塩谷町 船生3733-1,0287-47-4477,その他,329-2441,
あらいや,栃木県 佐野市 大町2991,0283-22-0381,うどん・そば・丼,327-0017,
あらまち酒場　神楽,栃木県 大田原市 山の手1-7-1,0287-47-4771,居酒屋,324-0051,
有野屋,栃木県 栃木市 平柳町1-35-11,0282-22-0268,居酒屋,328-0012,
アリラン,栃木県 佐野市 田沼町839,0283-62-2518,焼肉・ホルモン・韓国料理,327-0317,https://www.instagram.com/yakiniku__ariran/
ART café,栃木県 宇都宮市 大通り1-2-14,028-624-8770,カフェ・スイーツ,320-0811,
ALOHOUSE,栃木県 宇都宮市 平松本町1101-6,028-689-9385,カフェ・スイーツ,321-0932,
アローボード,栃木県 矢板市 扇町1-1202-7,0287-53-7450,バー・ダイニングバー,329-2161,https://www.instagram.com/arrow.board
アンテロープ,栃木県 足利市 葉鹿町1-24-6,0284-63-1958,バー・ダイニングバー,326-0143,
池寿し,栃木県 那須塩原市 宮町3-26,0287-62-1774,和食・寿司,325-0055,
漁美鮨,栃木県 宇都宮市 田野町471-5,028-652-4892,和食・寿司,321-0344,https://tabelog.com/tochigi/A0901/A090102/9004961/
いさみや,栃木県 宇都宮市 中岡本町2583-12,028-671-1228,ラーメン・餃子,329-1105,
漁火（ホテル東日本宇都宮）,栃木県 宇都宮市 上大曽町492-1,028-643-5555,和食・寿司,320-0013,https://www.hotelhigashinihon.com/restaurant_square/
漁火,栃木県 宇都宮市 西川田3-5-8,028-658-9384,居酒屋,321-0152,
居酒屋 言栄,栃木県 宇都宮市 下岡本町2157,028-673-6822,居酒屋,329-1104,
居酒屋 宝の陣,栃木県 佐野市 多田町868-2,0283-62-8222,居酒屋,327-0311,
居酒屋 陽の丸,栃木県 宇都宮市 みどり野町37-24,028-678-5420,居酒屋,321-0136,
居酒屋 漁場,栃木県 宇都宮市 東宿郷2-12-1 交通ﾊﾟ-ｷﾝｸﾞﾋﾞﾙ1F,028-633-4448,居酒屋,321-0953,
居酒屋　アットマイホーム,栃木県 宇都宮市 御幸ケ原町50-43 中央ﾋﾞﾙ1F,028-661-5330,居酒屋,321-0982,https://www.hotpepper.jp/strJ001053222/party/
居酒屋　かみよし,栃木県 宇都宮市 東宿郷5-3-6 ｺｰﾎﾟﾚﾍﾞｰﾚ2 1-S2,028-635-2220,居酒屋,321-0953,
居酒屋　きぶな,栃木県 宇都宮市 元今泉4-13-12,028-639-5423,居酒屋,321-0954,
居酒屋　小粋,栃木県 宇都宮市 池上町4-6,028-634-9000,居酒屋,320-0801,
居酒屋　甲府,栃木県 宇都宮市 元今泉4-7-16,028-636-2854,居酒屋,321-0954,
居酒屋　SASUKE,栃木県 下野市 祇園1-13-4,0285-44-8900,居酒屋,329-0434,
居酒屋 紗羅都伽,栃木県 宇都宮市 飯田町204-1,028-648-4529,居酒屋,321-0347,https://www.instagram.com/3232noboru/
居酒屋　庄助,栃木県 宇都宮市 塙田2-2-3,028-622-3506,居酒屋,320-0027,
居酒屋　じょうきげん,栃木県 宇都宮市 本町13-16 ｲｲﾉﾋﾞﾙ2F,028-624-5517,居酒屋,320-0033,
居酒屋　すし　うず潮,栃木県 宇都宮市 城東1-3-14,028-638-9767,居酒屋,321-0935,
居酒屋　宙　SORA,栃木県 河内郡上三川町 天神町11-9 ﾚｼﾞﾃﾞﾝｽﾖｺﾏﾂ1F,0285-53-8346,居酒屋,329-0530,http://www.hana-gto007.com
居酒屋　艫,栃木県 真岡市 並木町2-20-11,0285-82-5042,居酒屋,321-4361,
居酒屋　とんとん,栃木県 宇都宮市 西原3-3-14,028-632-8508,居酒屋,320-0862,
居酒家　遊ら里,栃木県 宇都宮市 峰3-31-36,028-633-8912,居酒屋,321-0942,
居酒屋れすとらん　さの富,栃木県 那須烏山市 金井2-8-10,0287-82-2619,居酒屋,321-0628,
居酒屋一信,栃木県 宇都宮市 東宿郷2-14-5 ﾌﾞﾘｯｼﾞ21 1F,028-615-7020,居酒屋,321-0953,
居酒屋大森商店西川田店,栃木県 宇都宮市 西川田町974-1,028-688-8177,居酒屋,321-0151,
居酒屋兜,栃木県 宇都宮市 下栗町2275,028-678-5001,居酒屋,321-0923,
居酒屋輝太郎,栃木県 宇都宮市 鶴田3ｰ8-3,028-348-3121,居酒屋,320-0857,https://search.yahoo.co.jp/amp/s/www.hotpepper.jp/strJ001245923/amp/%3Fusqp%3Dmq331AQRKAGYAbf4yt_279jZiwGwASA%253D
居酒屋サムライ駅東口,栃木県 宇都宮市 東宿郷2-11-1 伸晃ﾊｲﾂ1F,028-632-0925,居酒屋,321-0953,
居酒屋サムライジャンジャン,栃木県 宇都宮市 東宿郷2-5-2,028-637-1967,居酒屋,321-0953,
居酒屋四季,栃木県 栃木市 万町6-11,0282-22-1236,居酒屋,328-0015,
居酒屋しゃらく,栃木県 宇都宮市 下岡本町2201,028-673-4922,居酒屋,329-1104,https://www.instagram.com/izakayasharaku/
居酒屋食堂　いずみ家,栃木県 那須塩原市 五軒町3-29,0287-47-5554,居酒屋,329-2753,
居酒屋新太郎,栃木県 矢板市 末広町24-1,0287-44-2811,居酒屋,329-2162,http://www.eastern-hotel.jp/publics/index/65/
居酒屋たかまる,栃木県 佐野市 若松町114 とみや壱番館1F,0283-22-7731,居酒屋,327-0846,http://www.takamaru-y.com/takamaru/
居酒屋とり安,栃木県 宇都宮市 大通り4-3-4 山形ﾋﾞﾙ1F,028-625-7996,居酒屋,320-0811,
居酒屋なかい,栃木県 宇都宮市 池上町1-1 中央ﾋﾞﾙ1F,028-637-2323,居酒屋,320-0801,https://tabelog.com/tochigi/A0901/A090101/9016011/
居酒屋仲ちゃん,栃木県 宇都宮市 陽東1-3-16,028-662-7189,居酒屋,321-0904,https://tabelog.com/tochigi/A0901/A090101/9001878
居酒家なるねこ,栃木県 佐野市 大橋町993-19,0283-22-2786,居酒屋,327-0003,http://naruneco.com/
居酒屋のん太,栃木県 宇都宮市 大通り3-1-24 MTﾋﾞﾙ1F,028-637-3813,居酒屋,320-0811,https://izakayanonta.owst.jp
居酒屋ばんばん,栃木県 宇都宮市 池上町2-10 ｱｲ白鳩ﾋﾞﾙ2F,028-635-5537,居酒屋,320-0801,https://tabelog.com/tochigi/A0901/A090101/9000327/
居酒屋ポン吉ポン子,栃木県 下都賀郡壬生町 緑町1-22-1　おもちゃビル１F,0282-86-0098,居酒屋,321-0204,
居酒屋みこし,栃木県 那須塩原市 本町 3-7,0287-64-3755,居酒屋,325-0056,
izakayaむつ五郎,栃木県 宇都宮市 元今泉3-3-14,028-635-6256,居酒屋,321-0954,
居酒屋Yokoo 駅西口店,栃木県 宇都宮市 馬場通り4-2-6,028-678-3557,居酒屋,320-0026,
居酒屋Yokoo 駅東口店,栃木県 宇都宮市 東宿郷ﾒｿﾞﾝﾄﾞﾘｼｭ1F,028-666-0920,居酒屋,321-0953,
居酒屋 わくわく,栃木県 宇都宮市 大曽4-10-21 YWKﾏﾝｼｮﾝ1F,028-680-6309,居酒屋,320-0014,
いざかや笑ウ門ニハ福キタル,栃木県 宇都宮市 宿郷3-15-5,028-611-1544,居酒屋,321-0945,
伊澤商店,栃木県 宇都宮市 西刑部町1716,028-656-1693,カフェ・スイーツ,321-0917,https://izawasho-ten.blog.ss-blog.jp/
石臼挽きそば   香福屋,栃木県 足利市 島田町152-2,0284-71-5077,うどん・そば・丼,326-0337,
石臼挽き手打蕎麦　藤茂登,栃木県 宇都宮市 下金井町514-4,028-665-9678,うどん・そば・丼,321-2114,
石臼挽き手打ち蕎麦こまめ,栃木県 宇都宮市 今泉1-1-11,028-688-8910,和食・寿司,321-0966,
石川屋,栃木県 那須烏山市 中央1-14-22,0287-82-2363,うどん・そば・丼,321-0621,
石窯イタリアン アンジェロ,栃木県 那須塩原市 下永田1-1424-1,0287-37-6993,フレンチ・イタリアン,329-2712,
石窯パン工房　きらむぎ,栃木県 那須塩原市 東小屋 砂場368,0287-74-2900,その他,329-3147,http://www.panakimoto.com/shop_kiramugi/
石の蔵,栃木県 宇都宮市 東塙田2-8-8,028-622-5488,和食・寿司,320-0021,https://ishi-no-kura.jp/
石焼らーめん火山 インターパーク店,栃木県 宇都宮市 インターパーク1-2-6,028-688-3577,ラーメン・餃子,321-0118,
石焼らーめん火山 駅東口店,栃木県 宇都宮市 東宿郷2-3-12,028-610-7020,ラーメン・餃子,321-0953,
石焼らーめん火山 滝谷町店,栃木県 宇都宮市 花園町6-1,028-633-3169,ラーメン・餃子,320-0843,
石焼らーめん火山 戸祭店,栃木県 宇都宮市 上戸祭町536-6,028-621-0718,ラーメン・餃子,320-0051,
石焼らーめん火山 真岡店,栃木県 真岡市 下高間木2-11-4,0285-80-3122,ラーメン・餃子,321-4335,
居喰処酔神,栃木県 下野市 石橋578-6,0285-53-1281,居酒屋,329-0511,
イタリア食堂　ヴィア・ラッテア,栃木県 那須塩原市 戸田597-6,0287-68-1039,フレンチ・イタリアン,325-0114,
イタリア食堂　ヴェッキオ　トラム,栃木県 塩谷郡高根沢町 石末1785,028-680-3550,フレンチ・イタリアン,329-1225,https://vecchio-t.jp/
イタリア大使館別荘記念公園内「Caffe Como」,栃木県 日光市 中宮祠2482,0288-55-0880,カフェ・スイーツ,321-1661,https://www.nikko-nsm.co.jp/
イタリア料理　トト,栃木県 那須郡那珂川町 谷田365,0287-83-8555,フレンチ・イタリアン,324-0512,
イタリア料理　ログガーデン　ヴェルデ,栃木県 小山市 城山町3-9-22,0285-21-1881,フレンチ・イタリアン,323-0025,https://p965300.gorp.jp/
イタリア料理　ヴィンチ,栃木県 那須塩原市 大原間西1-13-13 ﾗ･ヴｨｰﾀ1-3号,0287-74-6937,フレンチ・イタリアン,329-3153,
イタリア料理カンパーニャ,栃木県 那須塩原市 西三島7-236-15,0287-36-0134,フレンチ・イタリアン,329-2756,
イタリア料理ジョイア・ミーア塩原関谷店,栃木県 那須塩原市 関谷2045-1,0287-35-3309,フレンチ・イタリアン,329-2801,http://www.gioiamia.jp
イタリア料理ジョイア・ミーア那須本店,栃木県 那須郡那須町 湯本493-3,0287-76-4478,フレンチ・イタリアン,325-0301,http://www.gioiamia.jp
イタリア料理ジョヴァンニ,栃木県 宇都宮市 江野町5-12 みよしﾋﾞﾙ1F,028-634-1800,フレンチ・イタリアン,320-0802,
イタリア料理Porta,栃木県 宇都宮市 中一の沢町1-8,028-688-0220,フレンチ・イタリアン,320-0045,
Ｉｔａｌiａｎ Ｃａｆｅ　Ｂｅｌｎｅｔｔａ,栃木県 那須郡那須町 高久甲5706-9,0287-74-5627,フレンチ・イタリアン,325-0304,https://belnetta.net
Italian caffe bar L'ape Ronza,栃木県 下野市 本吉田937-1,0285-39-7708,フレンチ・イタリアン,323-0105,https://laperonza.com/
イタリアン酒場Serata,栃木県 宇都宮市 江野町7-16,028-616-3919,フレンチ・イタリアン,320-0802,https://www.instagram.com/serata_sakaba/?hl=ja
イタリアン創作酒房柳庵,栃木県 宇都宮市 下戸祭2-2-6,028-621-0081,フレンチ・イタリアン,320-0055,
イタリアントマト　カフェジュニア　ベルモール店,栃木県 宇都宮市陽東6-2-1,028-689-7411,フレンチ・イタリアン,321-8555,
イタリアントマトカフェFKD宇都宮店,栃木県 宇都宮市 今泉町237 FKD宇都宮1F,028-688-8861,カフェ・スイーツ,321-0962,
イタリアントマトカフェ宇都宮オリオン通り店,栃木県 宇都宮市 曲師町4-1 三笠ﾋﾞﾙ1F,028-680-6031,カフェ・スイーツ,320-0803,
イタリアン・トマト　カフェジュニア　アピタ足利店,栃木県 足利市 朝倉町245 ｱﾋﾟﾀ足利1F,0284-73-6300,カフェ・スイーツ,326-0823,https://www.italiantomato.co.jp/
イタリアン肉バル　イチマルイイヒ,栃木県 宇都宮市 陽東7-8-15,028-661-6746,フレンチ・イタリアン,321-0904,https://ichimaru-iihi.owst.jp/
イタリアンレストランアチェーロ,栃木県 宇都宮市 下戸祭1-10-3 ﾊﾟﾚｽﾄﾞﾙﾐｰﾈ1F,028-623-7600,フレンチ・イタリアン,320-0055,http://italianacero.shop/
イタリアンレストラン　ラ・ルーチェ,栃木県 小山市 土塔247-21,0285-32-7522,フレンチ・イタリアン,323-0812,
いちい,栃木県 足利市 相生町385-5,0284-42-2489,うどん・そば・丼,326-0052,
いちえ,栃木県 足利市 伊勢町2ｰ8-29,0284-41-1025,和食・寿司,326-0053,http://www.watv.ne.jp/~echie
1cafe,栃木県 栃木市 境町1-8  F1ﾋﾞﾙ103,0282-25-6303,カフェ・スイーツ,328-0043,https://1cafe-tcg.jimdofree.com
いちげん,栃木県 宇都宮市 江野町7-17 老川ﾋﾞﾙ1F,028-678-9033,居酒屋,320-0802,
いちごの里　カフェ　アンジェ・フレーゼ,栃木県 小山市 大川島408,0285-33-1511,カフェ・スイーツ,323-0058,https://www.itigo.co.jp/restaurant/ange/
いちごの里　BBQハウス　豚とオリーヴ,栃木県 小山市 大川島408,0285-39-6155,その他,323-0058,https://www.itigo.co.jp/restaurant/bbq/
いちごの里　レストラン　いちご一会,栃木県 小山市 大川島408,0285-38-2818,洋食,323-0058,https://www.itigo.co.jp/restaurant/ichigoichie/
いちごの里カフェ　ＪＲ宇都宮店,栃木県 宇都宮市 川向町1-23 JR宇都宮駅ﾋﾞﾙﾊﾟｾｵ2F とちぎｸﾞﾗﾝﾏﾙｼｪ内,028-627-8522,カフェ・スイーツ,321-0965,https://www.itigo.co.jp/restaurant/othershop/
いちごの里カフェ日光店,栃木県 日光市 本町2-24,0288-25-7672,カフェ・スイーツ,321-1434,https://www.itigo.co.jp/
一陣,栃木県 宇都宮市 六道町10-17,028-633-8553,和食・寿司,320-0841,
一鮨,栃木県 下野市 小金井50-12,0285-44-5000,和食・寿司,329-0414,
一代元 黒磯店,栃木県 那須塩原市 豊浦10-546,0287-73-0055,ラーメン・餃子,325-0023,
一代元 矢板店,栃木県 矢板市 中2006-4,0287-46-6363,ラーメン・餃子,329-2135,
市場食堂,栃木県 宇都宮市 簗瀬町1910-1 卸売りｾﾝﾀｰ,028-633-0018,和食・寿司,321-0933,https://www.t-yamatoen.com
壱番亭西川田店,栃木県 宇都宮市 西川田町446-1,028-615-1060,ラーメン・餃子,321-0152,https://goo.gl/maps/nR5ReCXKP66Bvy9XA
一番鳥,栃木県 足利市 堀込町2531-1,0284-73-6565,居酒屋,326-0831,
壱番屋　今市センショープラザ店,栃木県 日光市 芹沼1450-1 今市ｾﾝｼｮｰﾌﾟﾗｻﾞ内,0288-30-5100,ファミリーレストラン・食堂,321-2405,
一福来,栃木県 宇都宮市 池上町1-11-1F,028-612-1290,和食・寿司,320-0801,
一喜,栃木県 宇都宮市 中央本町1-3 ﾏﾙﾖｼﾋﾞﾙ2 1F,028-616-8778,居酒屋,320-0805,https://ikki.owst.jp/
